                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.199,                0.90599,                 1.0746,                0.91435,                0.52176,                0.72477,                 0.5435,                 1.2951,                0.97318,                 1.1178,               0.008317,               0.008317,               0.008317
                     36,                 1.2012,                0.90283,                 1.0746,                0.91831,                0.50133,                0.71768,                0.54573,                 1.2873,                0.97457,                 1.1211,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.198,                0.90174,                  1.074,                0.93705,                0.49024,                0.71803,                0.54917,                 1.2844,                0.96022,                 1.1126,               0.008218,               0.008218,               0.008218
                     38,                 1.1982,                0.89744,                 1.0731,                0.91693,                0.51573,                0.72513,                0.55169,                 1.2798,                0.96105,                 1.1172,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1956,                0.89864,                 1.0734,                0.92542,                0.52267,                0.73064,                 0.5578,                 1.2684,                0.95814,                 1.1141,               0.008119,               0.008119,               0.008119
                     40,                 1.1942,                 0.8929,                  1.071,                0.91474,                0.52327,                0.72609,                0.55079,                 1.2837,                0.95929,                 1.1166,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1896,                 0.8931,                   1.07,                0.92162,                0.51731,                0.72469,                0.55134,                 1.2808,                0.95222,                 1.1137,                0.00802,                0.00802,                0.00802
                     42,                 1.1892,                 0.8896,                 1.0695,                0.91472,                0.52295,                0.72566,                 0.5509,                 1.2796,                0.95946,                 1.1144,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1853,                0.88991,                 1.0689,                0.91853,                0.52597,                0.72795,                0.55577,                  1.267,                0.94339,                 1.1108,               0.007921,               0.007921,               0.007921
                     44,                 1.1881,                0.88953,                 1.0678,                0.91991,                0.53555,                  0.735,                0.56116,                  1.266,                0.94338,                 1.1093,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1826,                0.88411,                 1.0679,                0.91682,                0.53095,                0.73083,                0.55683,                 1.2679,                0.94816,                 1.1076,               0.007822,               0.007822,               0.007822
                     46,                 1.1798,                0.88254,                  1.066,                0.91742,                0.54012,                0.73613,                0.56103,                 1.2575,                0.93075,                 1.1049,              0.0077725,              0.0077725,              0.0077725
                     47,                   1.18,                0.87926,                 1.0658,                0.92123,                0.53693,                0.73684,                  0.563,                 1.2597,                0.93562,                 1.1103,               0.007723,               0.007723,               0.007723
                     48,                 1.1767,                0.87497,                 1.0631,                0.92176,                 0.5314,                0.73378,                0.55899,                 1.2676,                0.93557,                 1.1083,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.1779,                0.87766,                 1.0652,                0.92014,                0.53826,                0.73533,                0.56105,                 1.2614,                0.92826,                 1.1081,               0.007624,               0.007624,               0.007624
                     50,                 1.1709,                0.86954,                   1.06,                 0.9253,                0.53392,                0.73636,                0.56445,                 1.2628,                0.92399,                 1.1039,              0.0075745,              0.0075745,              0.0075745
                     51,                  1.175,                0.87373,                 1.0638,                0.91808,                  0.547,                0.74035,                0.56088,                 1.2603,                0.93562,                 1.1052,               0.007525,               0.007525,               0.007525
                     52,                 1.1675,                  0.867,                  1.061,                0.91595,                0.55088,                0.74164,                0.56482,                 1.2567,                 0.9256,                 1.1036,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.171,                0.86639,                 1.0607,                0.91483,                0.54425,                0.73696,                0.56353,                  1.253,                 0.9205,                 1.1002,               0.007426,               0.007426,               0.007426
                     54,                 1.1642,                 0.8616,                 1.0579,                0.91097,                0.55091,                 0.7405,                0.56392,                 1.2512,                0.91984,                 1.1009,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.1678,                0.86125,                 1.0591,                  0.918,                0.54745,                0.74059,                0.56486,                  1.247,                0.91343,                 1.0977,               0.007327,               0.007327,               0.007327
                     56,                 1.1649,                0.86377,                 1.0587,                  0.918,                0.55073,                0.74267,                0.56811,                 1.2403,                0.91034,                  1.096,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.1671,                0.86161,                 1.0601,                0.91429,                0.56126,                0.74636,                 0.5681,                 1.2488,                0.91232,                 1.0984,               0.007228,               0.007228,               0.007228
                     58,                 1.1647,                0.85772,                 1.0576,                0.91963,                0.56018,                0.74802,                0.57329,                  1.238,                 0.9073,                 1.0948,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.1595,                0.85626,                 1.0547,                0.91967,                0.55353,                0.74395,                0.56976,                 1.2435,                0.91039,                 1.0956,               0.007129,               0.007129,               0.007129
                     60,                 1.1602,                0.85581,                 1.0579,                0.91586,                0.55641,                0.74417,                0.56699,                 1.2502,                0.91387,                 1.0973,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.1622,                0.85327,                 1.0576,                0.91302,                0.55952,                0.74539,                0.56817,                 1.2462,                0.90985,                 1.0953,                0.00703,                0.00703,                0.00703
                     62,                 1.1527,                0.85081,                 1.0535,                0.92019,                  0.559,                0.74859,                0.57269,                 1.2458,                0.90502,                 1.0963,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.1528,                0.84614,                 1.0531,                0.92135,                0.56833,                0.75291,                0.57387,                 1.2401,                0.90746,                 1.0963,               0.006931,               0.006931,               0.006931
                     64,                 1.1554,                0.84831,                 1.0552,                0.92535,                0.55888,                0.75032,                0.57466,                  1.235,                0.89488,                 1.0945,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.1521,                0.84431,                 1.0538,                0.92078,                 0.5663,                0.75176,                 0.5738,                 1.2404,                0.90322,                 1.0942,               0.006832,               0.006832,               0.006832
                     66,                 1.1506,                0.84144,                 1.0516,                0.91731,                0.56432,                 0.7486,                0.57098,                 1.2457,                0.90241,                 1.0951,              0.0067825,              0.0067825,              0.0067825
