                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    152,                 1.0595,                0.73323,                 1.0117,                0.91104,                0.60297,                0.76869,                0.59101,                 1.2193,                0.85667,                  1.082,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0595,                0.73133,                 1.0103,                0.91037,                0.60244,                0.76838,                 0.5908,                 1.2196,                0.85653,                  1.082,               0.002476,               0.002476,               0.002476
                    154,                 1.0538,                0.72816,                 1.0079,                0.91069,                0.60217,                0.76837,                 0.5907,                 1.2197,                0.85677,                 1.0819,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0568,                0.72881,                 1.0072,                0.91144,                 0.6022,                 0.7685,                0.59093,                 1.2202,                0.85682,                  1.082,               0.002377,               0.002377,               0.002377
                    156,                  1.054,                0.72543,                 1.0067,                0.91086,                0.60221,                0.76829,                0.59084,                 1.2204,                0.85671,                 1.0822,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0597,                0.72691,                 1.0098,                0.91151,                0.60228,                0.76843,                0.59085,                 1.2205,                0.85676,                 1.0822,               0.002278,               0.002278,               0.002278
                    158,                 1.0524,                 0.7246,                 1.0076,                0.91164,                0.60226,                0.76847,                0.59098,                 1.2205,                0.85649,                  1.082,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0552,                0.72504,                 1.0076,                0.91125,                0.60192,                 0.7682,                0.59095,                 1.2207,                0.85651,                  1.082,               0.002179,               0.002179,               0.002179
                    160,                 1.0501,                0.72119,                 1.0055,                0.91152,                  0.602,                0.76841,                0.59097,                 1.2208,                0.85642,                 1.0821,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.0514,                0.72099,                 1.0043,                0.91093,                0.60226,                0.76837,                0.59061,                 1.2211,                0.85616,                 1.0822,                0.00208,                0.00208,                0.00208
                    162,                 1.0482,                0.72053,                 1.0064,                0.91113,                0.60212,                0.76842,                0.59063,                 1.2211,                0.85601,                 1.0821,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0485,                0.71983,                 1.0076,                0.91116,                0.60239,                0.76851,                0.59082,                 1.2212,                0.85599,                 1.0821,               0.001981,               0.001981,               0.001981
                    164,                 1.0496,                0.71633,                 1.0038,                0.91074,                 0.6022,                0.76829,                0.59064,                 1.2215,                0.85605,                 1.0822,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.0461,                0.71661,                 1.0037,                0.91079,                0.60188,                0.76802,                0.59071,                 1.2216,                0.85585,                 1.0822,               0.001882,               0.001882,               0.001882
                    166,                 1.0439,                0.71287,                 1.0047,                0.91046,                0.60222,                 0.7681,                0.59051,                 1.2217,                0.85575,                 1.0823,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.0431,                 0.7119,                 1.0019,                0.91104,                 0.6025,                0.76837,                0.59066,                 1.2219,                 0.8558,                 1.0824,               0.001783,               0.001783,               0.001783
                    168,                 1.0446,                0.71432,                 1.0047,                0.91069,                0.60225,                0.76816,                 0.5909,                  1.222,                0.85564,                 1.0824,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.0413,                0.71213,                 1.0011,                0.91022,                 0.6017,                0.76779,                0.59074,                 1.2221,                0.85564,                 1.0824,               0.001684,               0.001684,               0.001684
                    170,                 1.0406,                0.70911,                 1.0005,                0.91002,                0.60137,                0.76752,                0.59063,                 1.2222,                0.85569,                 1.0824,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.0382,                0.70823,                 1.0012,                0.91028,                0.60128,                0.76755,                0.59073,                 1.2223,                0.85552,                 1.0824,               0.001585,               0.001585,               0.001585
                    172,                 1.0368,                0.70611,                 1.0012,                0.91019,                0.60139,                 0.7676,                0.59083,                 1.2219,                0.85526,                 1.0822,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.0355,                0.70417,                 1.0016,                0.91043,                0.60098,                0.76755,                0.59117,                 1.2222,                0.85514,                 1.0824,               0.001486,               0.001486,               0.001486
                    174,                 1.0358,                0.70403,                 1.0001,                0.91017,                0.60097,                0.76744,                0.59118,                 1.2224,                0.85512,                 1.0824,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.0386,                0.70839,                 1.0008,                0.91016,                0.60081,                0.76737,                0.59102,                 1.2223,                0.85532,                 1.0823,               0.001387,               0.001387,               0.001387
                    176,                 1.0346,                0.70056,                0.99866,                 0.9102,                0.60061,                0.76724,                0.59104,                 1.2225,                0.85522,                 1.0824,              0.0013375,              0.0013375,              0.0013375
                    177,                 1.0319,                0.69875,                0.99775,                0.91039,                0.60086,                0.76746,                0.59116,                 1.2226,                0.85539,                 1.0826,               0.001288,               0.001288,               0.001288
                    178,                 1.0334,                0.70291,                0.99924,                0.91004,                0.60016,                0.76703,                 0.5909,                 1.2225,                0.85542,                 1.0825,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.0258,                0.69527,                0.99391,                0.91027,                0.60007,                0.76707,                0.59067,                 1.2229,                0.85546,                 1.0826,               0.001189,               0.001189,               0.001189
                    180,                 1.0258,                0.69734,                0.99779,                0.91102,                    0.6,                0.76723,                0.59078,                 1.2228,                 0.8555,                 1.0826,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.0274,                0.69636,                0.99657,                0.91112,                0.60001,                0.76734,                0.59096,                 1.2227,                0.85529,                 1.0826,                0.00109,                0.00109,                0.00109
                    182,                 1.0264,                 0.6962,                0.99533,                0.91086,                0.60002,                0.76727,                0.59098,                 1.2227,                0.85523,                 1.0827,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.0239,                0.69405,                0.99552,                0.91149,                0.59978,                0.76734,                0.59118,                  1.223,                0.85516,                 1.0829,               0.000991,               0.000991,               0.000991
                    184,                 1.0263,                0.69401,                0.99647,                 0.9118,                0.59971,                0.76736,                0.59112,                 1.2231,                0.85514,                 1.0829,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.0202,                 0.6912,                0.99412,                 0.9123,                0.60046,                 0.7678,                0.59132,                 1.2231,                0.85525,                 1.0829,               0.000892,               0.000892,               0.000892
                    186,                 1.0203,                0.69185,                0.99681,                 0.9124,                0.60094,                0.76801,                0.59158,                 1.2229,                0.85524,                 1.0828,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.0214,                 0.6885,                0.99212,                0.91228,                0.60034,                0.76775,                 0.5914,                 1.2232,                0.85507,                  1.083,               0.000793,               0.000793,               0.000793
                    188,                 1.0198,                0.68791,                 0.9955,                0.91269,                0.60021,                0.76789,                0.59104,                 1.2233,                0.85546,                 1.0831,              0.0007435,              0.0007435,              0.0007435
                    189,                 1.0185,                 0.6854,                0.99254,                0.91268,                0.60045,                0.76795,                 0.5913,                 1.2235,                0.85528,                  1.083,               0.000694,               0.000694,               0.000694
                    190,                 1.0165,                0.68522,                0.99219,                0.91386,                0.60041,                0.76821,                0.59157,                 1.2236,                0.85533,                  1.083,              0.0006445,              0.0006445,              0.0006445
                    191,                 1.0184,                0.66596,                0.98421,                0.91302,                0.59988,                0.76773,                0.59138,                 1.2237,                0.85548,                 1.0831,               0.000595,               0.000595,               0.000595
                    192,                 1.0054,                0.64738,                0.97984,                0.91229,                0.59949,                0.76742,                0.59115,                  1.224,                0.85575,                 1.0833,              0.0005455,              0.0005455,              0.0005455
                    193,                 1.0012,                0.64312,                0.97699,                0.91285,                0.59896,                 0.7673,                0.59112,                 1.2244,                0.85595,                 1.0834,               0.000496,               0.000496,               0.000496
                    194,                0.99727,                0.63971,                0.97552,                0.91265,                0.59837,                0.76699,                0.59058,                 1.2252,                0.85643,                 1.0837,              0.0004465,              0.0004465,              0.0004465
                    195,                0.99111,                0.63594,                0.97511,                0.91335,                0.59822,                0.76707,                0.59072,                 1.2258,                0.85656,                 1.0839,               0.000397,               0.000397,               0.000397
                    196,                 0.9918,                0.63475,                0.97335,                0.91363,                0.59779,                0.76697,                0.59063,                 1.2263,                0.85692,                  1.084,              0.0003475,              0.0003475,              0.0003475
                    197,                0.98863,                0.63291,                0.97301,                0.91391,                0.59811,                0.76709,                0.59065,                 1.2268,                0.85706,                 1.0841,               0.000298,               0.000298,               0.000298
                    198,                0.98611,                0.63101,                  0.972,                0.91372,                0.59768,                0.76689,                0.59035,                 1.2273,                0.85709,                 1.0844,              0.0002485,              0.0002485,              0.0002485
                    199,                0.98527,                0.63002,                0.97156,                0.91408,                 0.5975,                0.76684,                 0.5901,                 1.2277,                 0.8576,                 1.0844,               0.000199,               0.000199,               0.000199
                    200,                0.98397,                0.62675,                0.96987,                0.91414,                0.59778,                0.76694,                0.59011,                 1.2281,                 0.8576,                 1.0845,              0.0001495,              0.0001495,              0.0001495
